classifier,imbalance_technique,n_trials,best_trial,mean_auc,std_auc,mean_f1,std_f1,mean_gmean,std_gmean,mean_precision,std_precision,mean_recall,std_recall,mean_specificity,std_specificity,best_params,time_seconds
MLP,SMOTEENN,50,15,0.9118,0.031,0.5094,0.0468,0.8371,0.0388,0.3576,0.038,0.8896,0.0677,0.7887,0.0285,"{""activation"": ""tanh"", ""solver"": ""sgd"", ""alpha"": 5.214045622476226e-05, ""learning_rate"": ""constant"", ""hidden_layer_sizes"": [88, 101], ""max_iter"": 1000}",4207.7
LightGBM,None,50,33,0.912,0.028,0.4948,0.0811,0.6307,0.0742,0.633,0.1029,0.4178,0.097,0.9667,0.0145,"{""n_estimators"": 400, ""max_depth"": 6, ""learning_rate"": 0.23156695277621892, ""num_leaves"": 47, ""min_child_samples"": 21, ""subsample"": 0.9188667709178747, ""colsample_bytree"": 0.9077520510504469, ""reg_alpha"": 2.201176310980749, ""reg_lambda"": 2.9560261691921655e-07}",144.2
LightGBM,ROS,50,32,0.9137,0.0285,0.5531,0.0536,0.8189,0.0479,0.4309,0.0479,0.7796,0.0902,0.8638,0.0239,"{""n_estimators"": 300, ""max_depth"": 3, ""learning_rate"": 0.023969419126299827, ""num_leaves"": 92, ""min_child_samples"": 26, ""subsample"": 0.9643397329431174, ""colsample_bytree"": 0.8889178295307477, ""reg_alpha"": 6.094221807170998e-07, ""reg_lambda"": 0.00010083474720770507}",179.6
LightGBM,SMOTE,50,31,0.9111,0.0324,0.5596,0.0781,0.7031,0.0571,0.6137,0.0984,0.5205,0.0828,0.9557,0.0155,"{""n_estimators"": 450, ""max_depth"": 3, ""learning_rate"": 0.023084253466494706, ""num_leaves"": 86, ""min_child_samples"": 36, ""subsample"": 0.9230217168550222, ""colsample_bytree"": 0.7668995833993822, ""reg_alpha"": 1.0557491862548623e-05, ""reg_lambda"": 1.0254860010913217e-08}",277.1
LightGBM,BorderlineSMOTE,50,41,0.9104,0.0321,0.5361,0.0897,0.6946,0.0665,0.5681,0.1006,0.5133,0.0958,0.9479,0.0162,"{""n_estimators"": 450, ""max_depth"": 3, ""learning_rate"": 0.02186451179765463, ""num_leaves"": 70, ""min_child_samples"": 30, ""subsample"": 0.6405606491141772, ""colsample_bytree"": 0.6465923158612856, ""reg_alpha"": 0.0002925416081834815, ""reg_lambda"": 0.004255914699400133}",278.7
LightGBM,ADASYN,50,43,0.9111,0.0319,0.5461,0.091,0.6947,0.0693,0.5948,0.1031,0.5109,0.0979,0.9536,0.0155,"{""n_estimators"": 450, ""max_depth"": 3, ""learning_rate"": 0.022085690024277415, ""num_leaves"": 77, ""min_child_samples"": 26, ""subsample"": 0.9527188786264297, ""colsample_bytree"": 0.8551794716038065, ""reg_alpha"": 0.0024513738944424482, ""reg_lambda"": 0.004063188025729769}",280.0
LightGBM,RUS,50,34,0.8929,0.0342,0.5015,0.0572,0.8146,0.0513,0.3614,0.0457,0.8253,0.0945,0.8073,0.0305,"{""n_estimators"": 100, ""max_depth"": 14, ""learning_rate"": 0.06577759260987594, ""num_leaves"": 83, ""min_child_samples"": 13, ""subsample"": 0.7803665210029, ""colsample_bytree"": 0.6480024926104241, ""reg_alpha"": 0.1995933507298883, ""reg_lambda"": 5.49431105814536e-05}",69.9
LightGBM,NearMiss,50,12,0.8367,0.0401,0.4403,0.0419,0.756,0.0495,0.3193,0.0369,0.7291,0.1166,0.7925,0.0482,"{""n_estimators"": 50, ""max_depth"": 11, ""learning_rate"": 0.026588373306819242, ""num_leaves"": 127, ""min_child_samples"": 50, ""subsample"": 0.887098392707996, ""colsample_bytree"": 0.6891391873199937, ""reg_alpha"": 1.959578228249567e-08, ""reg_lambda"": 4.2629425794678335}",54.4
LightGBM,TomekLinks,50,27,0.9128,0.0295,0.5161,0.0761,0.6629,0.0621,0.5936,0.0918,0.4631,0.0871,0.9576,0.0136,"{""n_estimators"": 250, ""max_depth"": 3, ""learning_rate"": 0.039960796937342995, ""num_leaves"": 68, ""min_child_samples"": 22, ""subsample"": 0.8727729507532489, ""colsample_bytree"": 0.8362159468198535, ""reg_alpha"": 1.2060589711229303e-05, ""reg_lambda"": 0.04718021714764399}",132.1
LightGBM,SMOTETomek,50,33,0.9102,0.0327,0.5635,0.0746,0.7295,0.0568,0.5642,0.0829,0.5685,0.0864,0.9413,0.0167,"{""n_estimators"": 500, ""max_depth"": 3, ""learning_rate"": 0.013832525806726335, ""num_leaves"": 88, ""min_child_samples"": 34, ""subsample"": 0.9586582086819206, ""colsample_bytree"": 0.7813094145714218, ""reg_alpha"": 2.3103333850680396e-05, ""reg_lambda"": 5.020924707133728e-08}",272.6
LightGBM,SMOTEENN,50,17,0.9088,0.0301,0.5753,0.0676,0.8104,0.0596,0.4725,0.0592,0.7413,0.102,0.8908,0.0199,"{""n_estimators"": 450, ""max_depth"": 3, ""learning_rate"": 0.019429709427516668, ""num_leaves"": 45, ""min_child_samples"": 24, ""subsample"": 0.9153446324282686, ""colsample_bytree"": 0.6513357207072721, ""reg_alpha"": 0.009604604818867315, ""reg_lambda"": 1.292821061863683e-07}",256.7
